;all_texts;ats;texts;hashtags
457;@Veganbob Product is flying off shelves faster than expected. We are taking the necessary steps to pick up production. In the meantime, we recommend calling your store ahead of time to find out when their next shipment is coming. We've heard some stores will set some aside for customers.;['veganbob'];['product', 'is', 'flying', 'off', 'shelves', 'faster', 'than', 'expected', 'we', 'are', 'taking', 'the', 'necessary', 'steps', 'to', 'pick', 'up', 'production', 'in', 'the', 'meantime', 'we', 'recommend', 'calling', 'your', 'store', 'ahead', 'of', 'time', 'to', 'find', 'out', 'when', 'their', 'next', 'shipment', 'is', 'coming', 'we', 'heard', 'some', 'stores', 'will', 'set', 'some', 'aside', 'for', 'customers'];[]
458;"FYI - neighborhood favorite, @sproutsfm launched The #BeyondBurger in their meat case! 

Check our store locator to find the closest location to you ➡️ https://t.co/D6rP3RupcY https://t.co/B7qYds8unx";['sproutsfm'];['fyi', 'neighborhood', 'favorite', 'launched', 'the', 'beyondburger', 'in', 'their', 'meat', 'case', 'check', 'our', 'store', 'locator', 'to', 'find', 'the', 'closest', 'location', 'to', 'you', 'https', 'https'];['beyondburger']
459;"@wcsek @VegFlavours There are so many fun ways to use The #BeyondBurger! Check out our recipe page, where you can even use our new ""advanced search"" feature to find specific holiday recipe inspiration: https://t.co/ec9ZdjyYAE";['wcsek', 'vegflavours'];['there', 'are', 'so', 'many', 'fun', 'ways', 'to', 'use', 'the', 'beyondburger', 'check', 'out', 'our', 'recipe', 'page', 'where', 'you', 'can', 'even', 'use', 'our', 'new', 'advanced', 'search', 'feature', 'to', 'find', 'specific', 'holiday', 'recipe', 'inspiration', 'https'];['beyondburger']
460;@katdraganac @AWCanada Sounds like a tasty 24 hours 😋;['katdraganac', 'awcanada'];['sounds', 'like', 'a', 'tasty', '24', 'hours'];[]
461;@ineedale @sproutsfm The #BeyondBurger is now on menu at all Honest Burger and All Bar One locations. We will be in Tesco Supermarkets this November, so stay tuned for updates!;['ineedale', 'sproutsfm'];['the', 'beyondburger', 'is', 'now', 'on', 'menu', 'at', 'all', 'honest', 'burger', 'and', 'all', 'bar', 'one', 'locations', 'we', 'will', 'be', 'in', 'tesco', 'supermarkets', 'this', 'november', 'so', 'stay', 'tuned', 'for', 'updates'];['beyondburger']
462;@ComfortingVegan Yum! Excited to see what delicious meal you create 😋;['comfortingvegan'];['yum', 'excited', 'to', 'see', 'what', 'delicious', 'meal', 'you', 'create'];[]
463;@katdraganac @AWCanada How many times is too many times for one visit @AWCanada to enjoy The #BeyondBurger? https://t.co/bXmsLyQO6z;['katdraganac', 'awcanada', 'awcanada'];['how', 'many', 'times', 'is', 'too', 'many', 'times', 'for', 'one', 'visit', 'to', 'enjoy', 'the', 'beyondburger', 'https'];['beyondburger']
464;@BristolFoodies @honestburgers We're happy to hear you had the opportunity to try The #BeyondBurger! It is now on the menu at all Honest Burger and All Bar One locations. We will be in Tesco Supermarkets this November, so stay tuned for updates!;['bristolfoodies', 'honestburgers'];['we', 'happy', 'to', 'hear', 'you', 'had', 'the', 'opportunity', 'to', 'try', 'the', 'beyondburger', 'it', 'is', 'now', 'on', 'the', 'menu', 'at', 'all', 'honest', 'burger', 'and', 'all', 'bar', 'one', 'locations', 'we', 'will', 'be', 'in', 'tesco', 'supermarkets', 'this', 'november', 'so', 'stay', 'tuned', 'for', 'updates'];['beyondburger']
465;@marksilva @getKITE A meal everyone can enjoy! So happy you and your team love The #FutureOfProtein 😋;['marksilva', 'getkite'];['a', 'meal', 'everyone', 'can', 'enjoy', 'so', 'happy', 'you', 'and', 'your', 'team', 'love', 'the', 'futureofprotein'];['futureofprotein']
466;@thxx4thevenom Good luck! Can't wait to hear about how much you enjoy it 😃;['thxx4thevenom'];['good', 'luck', 'can', 'wait', 'to', 'hear', 'about', 'how', 'much', 'you', 'enjoy', 'it'];[]
